A,B,C,D,E,F,G,H,I,J,K,L,M
3.00E+00,0.00E+00,2.20E+01,0.00E+00,0.00E+00,9.00E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.90E+01,0.00E+00,0.00E+00,9.50E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,0.00E+00,7.79E+00,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.80E+01,0.00E+00,0.00E+00,4.71E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,1.00E+00,1.70E+01,0.00E+00,0.00E+00,1.05E+01,0.00E+00,2.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,3.30E+01,3.00E+00,0.00E+00,1.58E+01,0.00E+00,3.00E+00,3.00E+00,7.00E+00,0.00E+00,4.00E+00,0.00E+00
3.00E+00,0.00E+00,1.60E+01,1.00E+00,3.00E+00,3.44E+01,0.00E+00,1.00E+00,0.00E+00,1.00E+01,0.00E+00,5.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,1.50E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,2.30E+01,3.00E+00,2.00E+00,2.63E+02,0.00E+00,2.00E+00,1.00E+00,5.00E+00,1.00E+00,6.00E+00,0.00E+00
3.00E+00,0.00E+00,2.40E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.90E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.00E+01,0.00E+00,0.00E+00,7.85E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,4.60E+01,1.00E+00,0.00E+00,6.12E+01,0.00E+00,1.00E+00,0.00E+00,1.10E+01,2.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.60E+01,1.00E+00,2.00E+00,2.06E+01,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,4.00E+00,0.00E+00
3.00E+00,0.00E+00,5.90E+01,0.00E+00,0.00E+00,7.25E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,7.10E+01,0.00E+00,0.00E+00,3.47E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,1.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.30E+01,0.00E+00,1.00E+00,6.34E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,2.00E+00,2.00E+00,0.00E+00
2.00E+00,1.00E+00,3.40E+01,0.00E+00,1.00E+00,2.30E+01,0.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,0.00E+00,3.40E+01,1.00E+00,0.00E+00,2.60E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.80E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.10E+01,0.00E+00,1.00E+00,7.73E+01,0.00E+00,1.00E+00,3.00E+00,5.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,3.30E+01,0.00E+00,0.00E+00,8.65E+00,0.00E+00,1.00E+00,0.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.70E+01,2.00E+00,0.00E+00,7.92E+00,0.00E+00,1.00E+00,3.00E+00,7.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,2.80E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.10E+01,0.00E+00,0.00E+00,7.65E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.78E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.80E+01,0.00E+00,0.00E+00,7.90E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,1.00E+00,0.00E+00,2.41E+01,2.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,0.00E+00,4.70E+01,0.00E+00,0.00E+00,5.20E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,1.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,1.45E+01,1.00E+00,0.00E+00,1.45E+01,1.00E+00,2.00E+00,2.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.20E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.00E+01,1.00E+00,0.00E+00,9.82E+00,0.00E+00,2.00E+00,0.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,1.70E+01,0.00E+00,0.00E+00,1.45E+01,1.00E+00,2.00E+00,2.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.10E+01,0.00E+00,0.00E+00,7.92E+00,0.00E+00,1.00E+00,3.00E+00,1.70E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,7.05E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,2.90E+01,1.00E+00,0.00E+00,2.10E+01,0.00E+00,1.00E+00,1.00E+00,5.00E+00,0.00E+00,2.00E+00,0.00E+00
1.00E+00,0.00E+00,2.40E+01,0.00E+00,1.00E+00,2.48E+02,1.00E+00,1.00E+00,0.00E+00,8.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,1.00E+00,2.00E+00,4.00E+00,2.00E+00,3.13E+01,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,7.00E+00,0.00E+00
2.00E+00,0.00E+00,2.10E+01,2.00E+00,0.00E+00,7.35E+01,0.00E+00,1.00E+00,3.00E+00,1.20E+01,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,9.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,3.25E+01,1.00E+00,0.00E+00,3.01E+01,1.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,1.00E+00,3.25E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,2.00E+00,2.00E+00,5.00E+00,2.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,5.40E+01,0.00E+00,1.00E+00,7.73E+01,0.00E+00,1.00E+00,3.00E+00,5.00E+00,2.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,1.20E+01,1.00E+00,0.00E+00,1.12E+01,1.00E+00,4.00E+00,2.00E+00,4.00E+00,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,2.97E+01,0.00E+00,0.00E+00,7.75E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.40E+01,0.00E+00,0.00E+00,7.14E+00,0.00E+00,1.00E+00,3.00E+00,7.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,1.00E+00,1.00E+00,2.24E+01,1.00E+00,2.00E+00,2.00E+00,4.00E+00,1.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,4.50E+01,0.00E+00,0.00E+00,6.97E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,3.30E+01,0.00E+00,0.00E+00,7.90E+00,1.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,0.00E+00,2.00E+01,0.00E+00,0.00E+00,7.05E+00,0.00E+00,1.00E+00,3.00E+00,1.80E+01,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,4.70E+01,1.00E+00,0.00E+00,1.45E+01,0.00E+00,3.00E+00,3.00E+00,9.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,1.00E+00,2.90E+01,1.00E+00,0.00E+00,2.60E+01,0.00E+00,3.00E+00,2.00E+00,6.00E+00,0.00E+00,2.00E+00,0.00E+00
2.00E+00,0.00E+00,2.50E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,2.30E+01,0.00E+00,0.00E+00,1.50E+01,1.00E+00,1.00E+00,3.00E+00,1.30E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,1.90E+01,0.00E+00,2.00E+00,2.63E+01,0.00E+00,2.00E+00,1.00E+00,5.00E+00,2.00E+00,3.00E+00,0.00E+00
1.00E+00,0.00E+00,3.70E+01,1.00E+00,0.00E+00,5.31E+01,0.00E+00,1.00E+00,1.00E+00,6.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,1.60E+01,0.00E+00,0.00E+00,9.22E+00,0.00E+00,1.00E+00,0.00E+00,4.00E+00,0.00E+00,1.00E+00,1.00E+00
1.00E+00,0.00E+00,2.40E+01,0.00E+00,0.00E+00,7.92E+01,1.00E+00,1.00E+00,0.00E+00,8.00E+00,2.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.97E+01,0.00E+00,2.00E+00,1.52E+01,1.00E+00,3.00E+00,2.00E+00,4.00E+00,0.00E+00,3.00E+00,0.00E+00
3.00E+00,1.00E+00,2.20E+01,0.00E+00,0.00E+00,7.75E+00,0.00E+00,2.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,2.40E+01,1.00E+00,0.00E+00,1.58E+01,0.00E+00,3.00E+00,3.00E+00,1.60E+01,0.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,1.90E+01,0.00E+00,0.00E+00,6.75E+00,2.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,1.80E+01,0.00E+00,0.00E+00,1.15E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,1.90E+01,1.00E+00,1.00E+00,3.68E+01,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,3.00E+00,0.00E+00
3.00E+00,0.00E+00,2.70E+01,0.00E+00,0.00E+00,7.80E+00,0.00E+00,1.00E+00,3.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
3.00E+00,1.00E+00,9.00E+00,2.00E+00,2.00E+00,3.44E+01,0.00E+00,2.00E+00,0.00E+00,1.00E+01,0.00E+00,5.00E+00,0.00E+00
2.00E+00,0.00E+00,3.65E+01,0.00E+00,2.00E+00,2.60E+01,0.00E+00,1.00E+00,2.00E+00,6.00E+00,1.00E+00,3.00E+00,0.00E+00
2.00E+00,0.00E+00,4.20E+01,0.00E+00,0.00E+00,1.30E+01,0.00E+00,5.00E+00,2.00E+00,6.00E+00,0.00E+00,1.00E+00,1.00E+00
2.00E+00,0.00E+00,5.10E+01,0.00E+00,0.00E+00,1.25E+01,0.00E+00,5.00E+00,3.00E+00,1.10E+01,0.00E+00,1.00E+00,1.00E+00
1.00E+00,1.00E+00,2.20E+01,1.00E+00,0.00E+00,6.66E+01,0.00E+00,3.00E+00,1.00E+00,6.00E+00,1.00E+00,2.00E+00,0.00E+00
3.00E+00,0.00E+00,5.55E+01,0.00E+00,0.00E+00,8.05E+00,0.00E+00,1.00E+00,3.00E+00,1.00E+01,0.00E+00,1.00E+00,1.00E+00
